code,name,ects,notes
AS-1-044,Teknologi och lärande,5,
AS-1-045,Teamarbete och innovation,5,
AS-1-046,Etisk och hållbar samhällsutveckling,5,
FM-1-005,Introduction to design,5,
FM-2-002,Visuell webbdesign,5,
FM-2-003,Branding and visual identity,5,
FM-2-012,Rörlig grafik och animation,5,
FM-2-014,Slutproduktion,10,ECTS guessed - verify
FM-3-004,Konstforsk film,3,
FM-3-005,Klippestetik,5,
FM-3-007,Gatufotografering,5,
KP-2-078,Upphovsrätt,5,
KP-2-080,Projekthantering i kultursektorn,5,
KP-2-090,Entreprenörskap inom den kreativa branschen,5,
KP-2-094,Kunskapsutveckling,5,
KP-2-102,"Marknadsföring - konst, kultur och den kreativa branschen",5,
KP-2-127,Negotiating for Creative Entrepeneurs,5,
MET-2-001,Kunskapsutveckling och metodikens grunder,5,
MET-2-003,Fördjupad metodik,5,added from curriculum
MK-1-004,Examensseminarium,5,
MK-1-023,Arbetslivskommunikation och akademiskt skrivande för kulturfältet,5,
MK-1-041,Kritisk medieanalys,5,
MK-2-067,Personregi,5,
MK-2-112,Introduktion till berättande,10,
MK-2-113,Introduktion till medieproduktion,10,
MK-2-115,Slutproduktion - Online media,5,"new code; becomes 5 ECTS in 2028, not active spring 2027; ECTS guessed - verify"
MK-2-118,"Webbdesign (Online media, åk 1)",10,used in requests; missing from reference list
MK-2-121,Pitcha idéer,5,
MK-2-125,"Kreativ framtid: konst, kultur och gemenskap i förändring",5,
MK-2-127,Dokumentärt berättande,10,
MK-2-128,Fiktivt berättande,10,
MK-2-131,Produktion i broadcastmiljö,10,
MK-2-135,UX & UI,5,
MK-2-136,Postproduktion för film och tv,5,
MK-2-140,Musikinspelning,5,
MK-2-142,Produktionsplanering,5,
MK-2-144,Distribution och marknadsföring,5,
MK-2-145,Moderna format,5,
MK-2-147,Introduktion till medievetenskap,5,
MK-2-155,Game design and produktion,15,
MK-2-162,Auditivt berättande,5,
MK-2-164,Medieproduktion,5,
MK-2-165,Reportage och inslag,5,
MK-2-173,Slutproduktion - Online media,5,
MK-2-174,Fotografens metoder,10,
MK-2-175,Ljudarbetarens metoder,10,
MK-2-176,Verktyg för manus och regi,10,
MK-2-177,OM - Introduktion till medieproduktion,5,new 5 ECTS OM-version of MK-2-113
MK-2-178,Konceptdesign och kundsamarbete,10,
MK-2-179,Portfolio design and presentation,5,
MK-3-016,Manusproduktion,5,
SP-FI-001,Työelämän suomi ja viestintä,5,
SP-SV-001,Svenska och kommunikation,5,
TV-2-002,Metodik,5,
TV-2-034,Visuellt berättande,5,
YH-4-032,Cilect film prize,5,
